year,region,time_index,consumption_lag_1,consumption_lag_2,cost_lag_1,cost_lag_2,consumption_rolling_mean_2,consumption_rolling_std_2,cost_rolling_mean_2,consumption_growth_lag_1_pct,cost_growth_lag_1_pct,winter_consumption_growth_lag_1_pct,rest_consumption_growth_lag_1_pct,region_historical_mean_consumption,region_historical_mean_cost
2019,Al-Bahah,2,3214577055,3078128993.36281,261429555,245063291.019225,3146353024.18141,96483349.6634156,253246423.009612,4.43282467795869,6.67838251608697,1.8743144312823,5.09560238588078,3146353024.18141,253246423.009612
2019,Al-Jouf,2,5643290091,5588687122.23086,827752089,296932616.553909,5615988606.61543,38610129.4895774,562342352.776955,0.977026760935318,178.767653956843,1.63821100787065,0.824575334519806,5615988606.61543,562342352.776955
2019,Al-Qassim,2,10937520259,10384493122.6399,922177731,830002011.56299,10661006690.82,391049238.300396,876089871.281495,5.32550919750139,11.1054814509946,10.0167201877267,4.41852441236408,10661006690.82,876089871.281495
2019,Asir,2,24780198852,24610534454.8141,3196672520,2245157639.95908,24695366653.4071,119970845.776044,2720915079.97954,0.689397450906082,42.3807604021187,1.1790814199272,0.590177903886691,24695366653.4071,2720915079.97954
2019,Eastern Region,2,36141733496,35990505143.6888,3494634736,3524878638.09958,36066119319.8444,106934593.426898,3509756687.04979,0.420189579744457,-0.858012578721956,1.03790478929249,0.31439275765166,36066119319.8444,3509756687.04979
2019,Hail,2,5218320215,4982414407.96402,475171976,394706295.202756,5100367311.48201,166810595.876425,434939135.601378,4.73476888351358,20.3862167325984,0.551947193304403,5.86046330807137,5100367311.48201,434939135.601378
2019,Jazan,2,14750953202,14655084164.5821,1822494343,1286253649.52746,14703018683.2911,67789646.4639889,1554373996.26373,0.654169135715676,41.6901202705659,1.3494280318274,0.523083195586405,14703018683.2911,1554373996.26373
2019,Madinah,2,15479286644,15393898774.4783,1302991274,1316727837.81506,15436592709.2391,60378341.5698965,1309859555.90753,0.554686442808805,-1.04323485997359,0.729998076600058,0.521360230592771,15436592709.2391,1309859555.90753
2019,Makkah,2,65594746995,65176664348.3867,6298253071,5824729025.39949,65385705671.6934,295629074.516651,6061491048.19975,0.641460637473701,8.12954634517153,2.63499698153029,0.270494154875567,65385705671.6934,6061491048.19975
2019,Najran,2,4829334084,4791336394.2692,463561284,505799205.331946,4810335239.1346,26868424.0780685,484680244.665973,0.793049926034084,-8.35072908116303,1.62630233682408,0.634170793144495,4810335239.1346,484680244.665973
2019,Northern Borders,2,2216659455,2142165202.3381,194827934,153329672.080928,2179412328.66905,52675391.2166557,174078803.040464,3.47752136859449,27.064730104666,0.752241273270449,4.22585037977843,2179412328.66905,174078803.040464
2019,Riyadh,2,68331532811,67967321953.5769,7493312338,5647002363.0512,68149427382.2885,257535967.065616,6570157350.5256,0.535861715534169,32.6953993685104,0.327824975878155,0.570311803694801,68149427382.2885,6570157350.5256
2019,Tabuk,2,5897599322,5697071041.16949,485318948,433889684.403389,5797335181.58475,141794907.194931,459604316.201694,3.51984869736399,11.8530735911199,0.708912951099938,4.20144120159043,5797335181.58475,459604316.201694
2020,Al-Bahah,3,2789681094,3214577055,836616522,261429555,3002129074.5,300446815.321875,549023038.5,-13.2177874018951,220.016044857667,-9.51828801883975,-14.1467620169496,3027462380.7876,447703122.673075
2020,Al-Jouf,3,3265981960,5643290091,1122461237,827752089,4454636025.5,1681010700.40002,975106663,-42.1262790440521,35.6035523094886,-34.149481836377,-43.9803577087653,4832653057.74362,749048647.51797
2020,Al-Qassim,3,8292713388,10937520259,2418167922,922177731,9615116823.5,1870160873.41287,1670172826.5,-24.1810466026219,162.223630078094,4.69718798245731,-30.0636127258941,9871575589.87997,1390115888.18766
2020,Asir,3,13625748398,24780198852,4170282160,3196672520,19202973625,7887387556.43276,3683477340,-45.0135631300623,30.4569715511553,-28.5724868123771,-48.3643496117369,21005493901.6047,3204037439.98636
2020,Eastern Region,3,32484475163,36141733496,11329072150,3494634736,34313104329.5,2586072167.81531,7411853443,-10.1192111701138,224.184729044598,-19.2437887313121,-8.54516242237219,34872237934.2296,6116195174.69986
2020,Hail,3,3861815623,5218320215,888657499,475171976,4540067919,959193595.713891,681914737.5,-25.9950431577722,87.0180784819684,-12.2755282863394,-29.5021307528941,4687516748.65467,586178590.067585
2020,Jazan,3,9397564226,14750953202,2423470589,1822494343,12074258714,3785417647.25891,2122982466,-36.2918172316767,32.9754793647664,-2.89367284815019,-42.6405551289861,12934533864.1941,1844072860.50915
2020,Madinah,3,13323863197,15479286644,3552195584,1302991274,14401574920.5,1524114535.70218,2427593429,-13.9245657540393,172.618524381615,16.9615570539087,-19.8081107782298,14732349538.4928,2057304898.60502
2020,Makkah,3,49646990867,65594746995,12489950209,6298253071,57620868931,11276766502.8181,9394101640,-24.3125507126594,98.3081668551772,-6.51414188384531,-27.7026624402674,60139467403.4622,8204310768.4665
2020,Najran,3,3311651001,4829334084,788501856,463561284,4070492542.5,1073163999.68141,626031570,-31.4263427752537,70.0965726033324,-4.59171134403977,-36.5934392276268,4310773826.42307,585954115.110649
2020,Northern Borders,3,1846945350,2216659455,440027650,194827934,2031802402.5,261427350.745815,317427792,-16.6788860673233,125.854496819743,2.37809193410559,-21.7373043604792,2068590002.44603,262728418.693643
2020,Riyadh,3,40748603259,68331532811,11431943354,7493312338,54540068035,19504076531.21,9462627846,-40.3663263756901,52.561949086607,-7.82600173565569,-45.7418872057751,59015819341.1923,8190752685.01706
2020,Tabuk,3,4895356711,5897599322,978495394,485318948,5396478016.5,708692546.632211,731907171,-16.9940776963485,101.619037960991,2.66340471948006,-21.6008417100658,5496675691.38983,632568008.801129
2021,Al-Bahah,4,2303504309,2789681094,507143229,836616522,2546592701.5,343778901.528974,671879875.5,-17.4276832590528,-39.3816383415866,-19.633496483688,-16.8439240383999,2846472862.8407,462563149.254806
2021,Al-Jouf,4,2593704416,3265981960,641460900,1122461237,2929843188,475372010.201837,881961068.5,-20.584239356913,-42.8522893392353,-28.2101002971468,-18.5006729245025,4272915897.30771,722151710.638477
2021,Al-Qassim,4,10038115978,8292713388,2197242924,2418167922,9165414683,1234186007.28956,2307705423,21.0474245079505,-9.13604865857616,-20.5625770562645,33.7363758784289,9913210686.90998,1591897647.14075
2021,Asir,4,10832588845,13625748398,2455697225,4170282160,12229168621.5,1975062060.86229,3312989692.5,-20.4991276179001,-41.1143627509367,-35.068318699196,-16.3917197841311,18462267637.4535,3016952386.23977
