year,region,annual_consumption_kwh,annual_cost_sar,winter_consumption_kwh,rest_of_year_consumption_kwh,winter_cost_sar,rest_of_year_cost_sar,average_cost_sar_per_kwh,winter_consumption_share_pct,selected_source,source_file,time_index,region_id,rest_to_winter_consumption_ratio,winter_to_rest_consumption_ratio,winter_cost_share_pct,consumption_lag_1,cost_lag_1,consumption_lag_2,cost_lag_2,consumption_rolling_mean_2,consumption_rolling_std_2,cost_rolling_mean_2,consumption_growth_lag_1_pct,cost_growth_lag_1_pct,winter_consumption_growth_lag_1_pct,rest_consumption_growth_lag_1_pct,region_historical_mean_consumption,region_historical_mean_cost,source_lineage
2019,Asir,13625748398,4170282160,2996611212,10629137186,675309400,3494972760,0.306058943566881,21.9922687875247,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,2,3,3.54705246494286,0.281924220147138,16.1933743111521,24780198852,3196672520,24610534454.8141,2245157639.95908,24695366653.4071,119970845.776044,2720915079.97954,0.689397450906082,42.3807604021187,1.1790814199272,0.590177903886691,24695366653.4071,2720915079.97954,GASTAT original workbook | HouseholdEnergyStatistics2019En.xlsx
2020,Asir,10832588845,2455697225,1945750042,8886838803,363141089,2092556136,0.226695322802127,17.9620040033007,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,3,3,4.56730752212416,0.218947376579303,14.7876979825964,13625748398,4170282160,24780198852,3196672520,19202973625,7887387556.43276,3683477340,-45.0135631300623,30.4569715511553,-28.5724868123771,-48.3643496117369,21005493901.6047,3204037439.98636,GASTAT original workbook | HouseholdEnergyStatistics2020En.xlsx
2021,Asir,5949106568,1413160934,857927505,5091179063,200717977,1212442957,0.237541707792114,14.4211150900331,GASTAT original workbook,HouseholdEnergyStatistics2021En.xlsx,4,3,5.93427653657053,0.168512537937423,14.2034762050675,10832588845,2455697225,13625748398,4170282160,12229168621.5,1975062060.86229,3312989692.5,-20.4991276179001,-41.1143627509367,-35.068318699196,-16.3917197841311,18462267637.4535,3016952386.23977,GASTAT original workbook | HouseholdEnergyStatistics2021En.xlsx
2022,Asir,8973079379.17529,1941500667.67956,1904918502.76952,7068160876.40577,414583416.785468,1526917250.89409,0.216369496539325,21.2292616868012,GASTAT original workbook,HouseholdEnergyStatistics2022En.xlsx,5,3,3.71047940692975,0.269506953234233,21.353761226411,5949106568,1413160934,10832588845,2455697225,8390847706.5,3453143433.87102,1934429079.5,-45.0813960252361,-42.4537797407007,-55.9076198647719,-42.7110227173094,15959635423.5628,2696194095.79182,GASTAT original workbook | HouseholdEnergyStatistics2022En.xlsx
2019,Eastern Region,32484475163,11329072150,4294128877,28190346286,952025741,10377046409,0.348753430466498,13.2190187942179,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,2,4,6.56485799413048,0.152326219530427,8.40338668864422,36141733496,3494634736,35990505143.6888,3524878638.09958,36066119319.8444,106934593.426898,3509756687.04979,0.420189579744457,-0.858012578721956,1.03790478929249,0.31439275765166,36066119319.8444,3509756687.04979,GASTAT original workbook | HouseholdEnergyStatistics2019En.xlsx
2020,Eastern Region,25039529172,6148415052,3482159360,21557369812,664686072,5483728980,0.245548349162865,13.9066487076517,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,3,4,6.19080506757738,0.16152988005344,10.8106896879674,32484475163,11329072150,36141733496,3494634736,34313104329.5,2586072167.81531,7411853443,-10.1192111701138,224.184729044598,-19.2437887313121,-8.54516242237219,34872237934.2296,6116195174.69986,GASTAT original workbook | HouseholdEnergyStatistics2020En.xlsx
2021,Eastern Region,18541505095,4221531583,2617365030,15924140065,588371177,3633160406,0.227680091846395,14.1162490131711,GASTAT original workbook,HouseholdEnergyStatistics2021En.xlsx,4,4,6.08403485279239,0.164364607402114,13.9373865961197,25039529172,6148415052,32484475163,11329072150,28762002167.5,5264371795.8037,8738743601,-22.9184739899379,-45.7288737277571,-18.9088297127976,-23.5292479443365,32414060743.6722,6124250144.02489,GASTAT original workbook | HouseholdEnergyStatistics2021En.xlsx
2022,Eastern Region,25890673713.5296,5524229429.77055,3560456040.83408,22330217672.6955,775137570.778106,4749091858.99245,0.213367542725772,13.7518864137301,GASTAT original workbook,HouseholdEnergyStatistics2022En.xlsx,5,4,6.27172963704515,0.1594456486283,14.031596272972,18541505095,4221531583,25039529172,6148415052,21790517133.5,4594796889.16016,5184973317.5,-25.9510633461363,-31.3395151873036,-24.8350015204359,-26.1313406789739,29639549613.9378,5743706431.81992,GASTAT original workbook | HouseholdEnergyStatistics2022En.xlsx
2019,Hail,3861815623,888657499,931962566,2929853057,236304535,652352964,0.230113911629385,24.1327566352331,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,2,5,3.14374542914849,0.3180919137816,26.5911822345405,5218320215,475171976,4982414407.96402,394706295.202756,5100367311.48201,166810595.876425,434939135.601378,4.73476888351358,20.3862167325984,0.551947193304403,5.86046330807137,5100367311.48201,434939135.601378,GASTAT original workbook | HouseholdEnergyStatistics2019En.xlsx
2020,Hail,4313963103,865944215,830065564,3483897539,170320313,695623902,0.200730556642408,19.2413691119138,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,3,5,4.19713537110425,0.238257742860675,19.6687396312244,3861815623,888657499,5218320215,475171976,4540067919,959193595.713891,681914737.5,-25.9950431577722,87.0180784819684,-12.2755282863394,-29.5021307528941,4687516748.65467,586178590.067585,GASTAT original workbook | HouseholdEnergyStatistics2020En.xlsx
