السنة,الوحدة,مصدر البيانات,القطاع,أعداد المستخدمين
2024,مستهلك,شركة مرافق الكهرباء والمياه بالجبيل وينبع,تجاري," 1,603 "
2024,مستهلك,شركة مرافق الكهرباء والمياه بالجبيل وينبع,حكومي," 4,775 "
2024,مستهلك,شركة مرافق الكهرباء والمياه بالجبيل وينبع,صناعي, 126 
2024,مستهلك,شركة مرافق الكهرباء والمياه بالجبيل وينبع,أخرى, 26 
,,,,
,,,,
,,,,
,,,,
,,,,
أسم مجموعة البيانات,, اجمالي اعداد المستخدمين للكهرباء في المملكة (لكل فئة الاستهلاكية),,
من (السنه),,2017,,
إلى (السنة),,2024,,
