MAE,RMSE,MAPE,R2,model,split
1236798742.58035,2424106328.10033,6.90513062028673,0.982664448678098,"ARIMA(0,1,0)_linear_drift",validation
3751525995.05942,5248205335.72785,38.4413908873161,0.877933702107599,"ARIMA(0,1,0)_linear_drift",test
