year,region_original,region,season,measure,unit,value,source_type,source_file,source_sheet,source_table,source_excel_row
2020,Najran,Najran,Winter,Consumption,kWh,569210792,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Houses Consumption and Cost,18
2020,Najran,Najran,Winter,Cost,SAR,110480000,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Houses Consumption and Cost,18
2020,Northern Borders,Northern Borders,Rest of the year,Consumption,kWh,1347783540,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Houses Consumption and Cost,16
2020,Northern Borders,Northern Borders,Rest of the year,Cost,SAR,267520333,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Houses Consumption and Cost,16
2020,Northern Borders,Northern Borders,Winter,Consumption,kWh,379159286,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Houses Consumption and Cost,16
2020,Northern Borders,Northern Borders,Winter,Cost,SAR,83999462,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Houses Consumption and Cost,16
2020,Riyadh,Riyadh,Rest of the year,Consumption,kWh,45171032799,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Houses Consumption and Cost,8
2020,Riyadh,Riyadh,Rest of the year,Cost,SAR,10279799807,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Houses Consumption and Cost,8
2020,Riyadh,Riyadh,Winter,Consumption,kWh,8390161686,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Houses Consumption and Cost,8
2020,Riyadh,Riyadh,Winter,Cost,SAR,1647747438,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Houses Consumption and Cost,8
2020,Tabuk,Tabuk,Rest of the year,Consumption,kWh,3616071416,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Houses Consumption and Cost,14
2020,Tabuk,Tabuk,Rest of the year,Cost,SAR,690784672,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Houses Consumption and Cost,14
2020,Tabuk,Tabuk,Winter,Consumption,kWh,832394440,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Houses Consumption and Cost,14
2020,Tabuk,Tabuk,Winter,Cost,SAR,155716582,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Houses Consumption and Cost,14
