year,region_original,region,season,measure,unit,value,source_type,source_file,source_sheet,source_table,source_excel_row
2017,Najran,Najran,Rest of the year,Consumption,kWh,4024055708.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Najran,Najran,Rest of the year,Cost,SAR,451502210.43434113,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Najran,Najran,Winter,Consumption,kWh,767280686.2692041,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Najran,Najran,Winter,Cost,SAR,54296994.89760524,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Northern Borders,Northern Borders,Rest of the year,Consumption,kWh,1680672755.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Northern Borders,Northern Borders,Rest of the year,Cost,SAR,124393718.41279708,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Northern Borders,Northern Borders,Winter,Consumption,kWh,461492447.338097,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Northern Borders,Northern Borders,Winter,Cost,SAR,28935953.668130457,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Riyadh,Riyadh,Rest of the year,Consumption,kWh,58311208859.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Riyadh,Riyadh,Rest of the year,Cost,SAR,5000680818.49279,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Riyadh,Riyadh,Winter,Consumption,kWh,9656113094.576937,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Riyadh,Riyadh,Winter,Cost,SAR,646321544.558405,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Tabuk,Tabuk,Rest of the year,Consumption,kWh,4585245842.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Tabuk,Tabuk,Rest of the year,Cost,SAR,360078967.36779565,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Tabuk,Tabuk,Winter,Consumption,kWh,1111825199.1694949,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Tabuk,Tabuk,Winter,Cost,SAR,73810717.035593,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Total,Total,Rest of the year,Consumption,kWh,219623690912.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Total,Total,Rest of the year,Cost,SAR,19996954830.281124,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Total,Total,Winter,Consumption,kWh,40834614210.50189,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Total,Total,Winter,Cost,SAR,2707517099.7260065,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Al-Bahah,Al-Bahah,Rest of the year,Consumption,kWh,2569383740.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Al-Bahah,Al-Bahah,Rest of the year,Cost,SAR,216447376.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Al-Bahah,Al-Bahah,Winter,Consumption,kWh,645193315.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Al-Bahah,Al-Bahah,Winter,Cost,SAR,44982179.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Al-Jouf,Al-Jouf,Rest of the year,Consumption,kWh,4578979658.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Al-Jouf,Al-Jouf,Rest of the year,Cost,SAR,710136919.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Al-Jouf,Al-Jouf,Winter,Consumption,kWh,1064310433.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Al-Jouf,Al-Jouf,Winter,Cost,SAR,117615170.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Al Qassim,Al-Qassim,Rest of the year,Consumption,kWh,9086565021.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Al Qassim,Al-Qassim,Rest of the year,Cost,SAR,797739786.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Al Qassim,Al-Qassim,Winter,Consumption,kWh,1850955238.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Al Qassim,Al-Qassim,Winter,Cost,SAR,124437945.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Asir,Asir,Rest of the year,Consumption,kWh,20584881000.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2018,Asir,Asir,Rest of the year,Cost,SAR,2808175606.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
