overall_rank,model_name,test_MAE,test_RMSE,test_MAPE,test_R2,validation_RMSE,rmse_stability,rank_test_MAE,rank_test_RMSE,rank_test_MAPE,rank_test_R2,rank_validation_RMSE,rank_stability,mean_numeric_rank,complexity,interpretability,robustness_note
1,Random Forest,2553277171.2107,3886811926.61273,18.0593202389727,0.933048364620255,5748653802.95482,0.391376440703427,2,1,2,1,6,3,2.5,Moderate,Moderate,Limited by small training sample
1,Moving average baseline,2323903878.16408,4178515931.40958,14.9280122055256,0.92262186446155,4415550204.81276,0.0551763048306409,1,3,1,3,5,2,2.5,Very low,Very high,High
3,Naive baseline,3050746607.31793,4773581114.15931,23.6558669949979,0.899013632791519,2547485217.383,0.627990097603874,4,4,3,4,3,5,3.83333333333333,Very low,Very high,High
3,Persistence baseline,3050746607.31793,4773581114.15931,23.6558669949979,0.899013632791519,2547485217.383,0.627990097603874,4,4,3,4,3,5,3.83333333333333,Very low,Very high,High
5,XGBoost,2983914346.6858,4099142936.57932,41.4781602940039,0.925533616766831,7332148772.46161,0.581490708615019,3,2,8,2,8,4,4.5,High,Moderate-low,Limited by small training sample
6,Hybrid,3751525995.05941,5248205335.72785,38.4413908873161,0.8779337021076,2424106328.10031,0.77242324537601,7,6,6,6,1,8,5.66666666666667,High,Moderate-low,Weights collapse to ARIMA in supplied results
7,Historical mean baseline,3500664048.24344,5664021617.85612,26.6686156131901,0.857824769565403,5782286158.55023,0.0206649605481662,6,8,5,8,7,1,5.83333333333333,Very low,Very high,High
8,ARIMA,3751525995.05942,5248205335.72785,38.4413908873161,0.877933702107599,2424106328.10033,0.772423245376002,8,6,6,7,2,7,6,Low,High,Limited by four-to-five point regional histories
