split,model,n_observations,MAE,RMSE,MAPE,R2
test,Moving Average (2-year),13,2323903878.16408,4178515931.40958,14.9280122055256,0.92262186446155
test,Naive,13,3050746607.31793,4773581114.15931,23.6558669949979,0.899013632791519
test,Persistence,13,3050746607.31793,4773581114.15931,23.6558669949979,0.899013632791519
test,Historical Mean,13,3500664048.24344,5664021617.85612,26.6686156131901,0.857824769565403
validation,Naive,13,1682348599.07692,2547485217.383,27.1093495098932,0.980854898524735
validation,Persistence,13,1682348599.07692,2547485217.383,27.1093495098932,0.980854898524735
validation,Moving Average (2-year),13,3003103114.38462,4415550204.81276,38.6645109654016,0.94248197283123
validation,Historical Mean,13,3852466023.79272,5782286158.55023,65.9955384617735,0.901364445891404
