year,region_name,annual_kwh,annual_sar,kwh_lag1,kwh_lag2,kwh_roll3,kwh_yoy_pct,region_Al-Bahah,region_Al-Jouf,region_Asir,region_Eastern Region,region_Hail,region_Jazan,region_Madinah,region_Makkah,region_Najran,region_Northern Borders,region_Qassim,region_Riyadh,region_Tabuk
2020,Najran,2789328989.0,564794992.0,3311651001.0,4829334084.0,3643438024.6666665,-15.772254136751652,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,Najran,2018166709.0,478249987.0,2789328989.0,3311651001.0,2706382233.0,-27.646874321428417,0,0,0,0,0,0,0,0,1,0,0,0,0
2022,Najran,2690828097.81257,577871432.6678176,2018166709.0,2789328989.0,2499441265.270857,33.330318343516495,0,0,0,0,0,0,0,0,1,0,0,0,0
2019,Northern Borders,1846945350.0,440027650.0,2216659455.0,2142165202.338097,2068590002.4460323,-16.67888606732332,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,Northern Borders,1726942826.0,351519795.0,1846945350.0,2216659455.0,1930182543.6666667,-6.497351099208215,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,Northern Borders,1544512407.0,346438834.0,1726942826.0,1846945350.0,1706133527.6666667,-10.56377873392318,0,0,0,0,0,0,0,0,0,1,0,0,0
2022,Northern Borders,2223252267.974279,489163654.3511922,1544512407.0,1726942826.0,1831569166.9914265,43.94525145269868,0,0,0,0,0,0,0,0,0,1,0,0,0
2019,Qassim,8292713388.0,2418167922.0,10937520259.0,10384493122.639912,9871575589.87997,-24.18104660262188,0,0,0,0,0,0,0,0,0,0,1,0,0
2020,Qassim,10038115978.0,2197242924.0,8292713388.0,10937520259.0,9756116541.666666,21.047424507950453,0,0,0,0,0,0,0,0,0,0,1,0,0
2021,Qassim,10685966202.0,2405546724.0,10038115978.0,8292713388.0,9672265189.333334,6.453902559203928,0,0,0,0,0,0,0,0,0,0,1,0,0
2022,Qassim,8362301784.149253,1803645077.336528,10685966202.0,10038115978.0,9695461321.383085,-21.745009987172214,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,Riyadh,40748603259.0,11431943354.0,68331532811.0,67967321953.576935,59015819341.192314,-40.366326375690065,0,0,0,0,0,0,0,0,0,0,0,1,0
2020,Riyadh,53561194485.0,11927547245.0,40748603259.0,68331532811.0,54213776851.666664,31.443019395198846,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,Riyadh,56274905515.0,13283907918.0,53561194485.0,40748603259.0,50194901086.333336,5.066561819789106,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,Riyadh,48810487307.07053,10588811296.54288,56274905515.0,53561194485.0,52882195769.023506,-13.264203892692162,0,0,0,0,0,0,0,0,0,0,0,1,0
2019,Tabuk,4895356711.0,978495394.0,5897599322.0,5697071041.169495,5496675691.389832,-16.994077696348462,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,Tabuk,4448465856.0,846501254.0,4895356711.0,5897599322.0,5080473963.0,-9.128872141141908,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,Tabuk,3862737062.0,870799760.0,4448465856.0,4895356711.0,4402186543.0,-13.166984146005777,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,Tabuk,4872332817.515548,1049267910.9700382,3862737062.0,4448465856.0,4394511911.838516,26.136797284172687,0,0,0,0,0,0,0,0,0,0,0,0,1
