year,national_annual_kwh,kwh_lag1,kwh_lag2,kwh_roll3,kwh_yoy_pct
2019,187491390237.0,263035752481.0,260458305123.50143,236995149280.5005,-28.720187857145707
2020,192476298615.0,187491390237.0,263035752481.0,214334480444.33334,2.65873988757499
2021,177328889335.0,192476298615.0,187491390237.0,185765526062.33334,-7.869752997639745
2022,171305108970.94904,177328889335.0,192476298615.0,180370098973.64966,-3.3969537544845108
