year,region_name,t1_2_winter_kwh,t1_2_winter_sar,t1_2_rest_kwh,t1_2_rest_sar,annual_kwh,annual_sar,t1_2_winter_kwh_source,t1_2_winter_sar_source,t1_2_rest_kwh_source,t1_2_rest_sar_source,annual_kwh_source,annual_sar_source
2019,Madinah,2896966402.0,619823275.0,10426896795.0,2932372309.0,13323863197.0,3552195584.0,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2019,Makkah,9811340713.0,2019019112.0,39835650154.0,10470931097.0,49646990867.0,12489950209.0,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2019,Najran,743954708.0,168123136.0,2567696293.0,620378720.0,3311651001.0,788501856.0,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2019,Northern Borders,476021255.0,142002715.0,1370924095.0,298024935.0,1846945350.0,440027650.0,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2019,Qassim,1937898085.0,566546168.0,6354815303.0,1851621754.0,8292713388.0,2418167922.0,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2019,Riyadh,8929603334.0,1952659947.0,31818999925.0,9479283407.0,40748603259.0,11431943354.0,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2019,Tabuk,1149529403.0,234601401.0,3745827308.0,743893993.0,4895356711.0,978495394.0,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2020,Al-Bahah,469165147.0,96607805.0,1834339162.0,410535424.0,2303504309.0,507143229.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2020,Al-Jouf,503142337.0,101309290.0,2090562079.0,540151610.0,2593704416.0,641460900.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2020,Asir,1945750042.0,363141089.0,8886838803.0,2092556136.0,10832588845.0,2455697225.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2020,Eastern Region,3482159360.0,664686072.0,21557369812.0,5483728980.0,25039529172.0,6148415052.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2020,Hail,830065564.0,170320313.0,3483897539.0,695623902.0,4313963103.0,865944215.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2020,Jazan,1554582668.0,320517165.0,6250877934.0,1304514731.0,7805460602.0,1625031896.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2020,Madinah,2040377831.0,390820207.0,10285719042.0,2246676949.0,12326096873.0,2637497156.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2020,Makkah,9513673122.0,1827323739.0,45183730039.0,9751225005.0,54697403161.0,11578548744.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2020,Najran,569210792.0,110480000.0,2220118197.0,454314992.0,2789328989.0,564794992.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2020,Northern Borders,379159286.0,83999462.0,1347783540.0,267520333.0,1726942826.0,351519795.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2020,Qassim,1539416298.0,338333822.0,8498699680.0,1858909102.0,10038115978.0,2197242924.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2020,Riyadh,8390161686.0,1647747438.0,45171032799.0,10279799807.0,53561194485.0,11927547245.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2020,Tabuk,832394440.0,155716582.0,3616071416.0,690784672.0,4448465856.0,846501254.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2021,Al-Bahah,367849699.0,81175236.0,1464798031.0,322659766.0,1832647730.0,403835002.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2021,Al-Jouf,263994514.0,58868009.0,1231174711.0,295519925.0,1495169225.0,354387934.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2021,Asir,857927505.0,200717977.0,5091179063.0,1212442957.0,5949106568.0,1413160934.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2021,Eastern Region,2617365030.0,588371177.0,15924140065.0,3633160406.0,18541505095.0,4221531583.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2021,Hail,721039786.0,158073974.0,3592907778.0,794206659.0,4313947564.0,952280633.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2021,Jazan,987490903.0,217088274.0,4285544736.0,959358664.0,5273035639.0,1176446938.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
2021,Madinah,1502964633.0,333905495.0,9535951637.0,2179868917.0,11038916270.0,2513774412.0,BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT),BOTH(GASTAT)
